,GPU,NEWUSPrice,AVG1080pFPS,AVG1440pFPS,AVG4kFPS,Ebay_Used_Price,PCPartPicker_New_Price
0,RTX 3090,1499.0,246.5,187.7,117.9,900.0,1099.99
1,RX 6900 XT,999.0,250.1,186.9,105.9,669.99,699.99
2,RTX 3080 Ti,799.0,241.8,182.0,112.6,799.99,858.99
3,RX 6800 XT,649.0,236.1,176.4,100.1,589.0,639.99
4,RTX 3080,699.0,232.4,173.0,105.0,620.0,729.99
5,RX 6800,579.0,197.4,147.6,79.7,509.99,589.98
6,RTX 3070 Ti,599.0,187.2,139.3,89.0,450.0,642.67
7,TITAN RTX,2499.0,166.3,127.3,77.8,1999.99,2998.0
8,RTX 3070,499.0,178.8,133.1,80.8,425.0,629.99
9,RTX 2080 Ti,1187.0,161.4,123.6,75.6,469.99,899.0
10,RX 6700 XT,479.0,163.2,122.0,70.6,387.8,395.99
11,RTX 3060 Ti,399.0,150.0,113.8,69.3,395.0,469.99
12,RTX 2080 SUPER,699.0,145.5,110.6,67.2,355.0,1199.95
13,TITAN V,2999.0,139.9,107.1,66.7,1.95,3099.0
14,RTX 2080,693.0,137.2,103.2,62.3,349.0,999.95
15,RX 6600 XT,379.0,135.8,101.5,59.5,230.0,299.99
16,RTX 2070 SUPER,499.0,128.3,95.4,57.6,199.0,1499.99
17,GTX 1080 Ti,807.0,129.2,98.6,59.7,158.95,
18,TITAN Xp,1199.0,125.8,94.9,58.9,429.99,
19,Radeon VII,664.0,126.0,94.2,56.3,,
20,RTX 3060,329.0,124.3,92.0,55.4,359.0,379.99
21,RX 5700 XT,399.0,122.8,91.8,54.8,275.0,640.99
22,RTX 2070,469.0,120.8,89.0,53.7,299.0,899.99
23,RX 5700,349.0,112.7,84.3,50.3,8.95,
24,RTX 2060 SUPER,400.0,114.7,83.0,50.0,264.99,339.99
25,GTX 1080,522.0,109.6,80.8,48.2,89.99,
26,RX 5600 XT,279.0,105.8,78.6,46.8,190.0,550.0
27,RTX 2060,349.0,107.8,76.4,45.3,219.0,238.49
28,RX Vega 64,419.0,102.2,76.5,45.6,449.99,
29,GTX 1070 Ti,503.0,101.1,74.7,44.6,185.0,
30,RX Vega 56,269.0,95.9,71.7,42.8,215.0,
31,GTX TITAN X,1099.0,97.9,71.6,43.0,199.99,
32,RTX 3050 Ti,249.0,102.3,74.3,44.3,,
33,RTX 2080 Mobile,1942.0,96.0,72.3,43.6,,
34,GTX 1660 Ti,279.0,96.3,71.1,42.5,165.0,347.0
35,R9 295X2,1499.0,101.1,73.8,46.7,,
36,RTX 3050,200.0,92.9,68.5,41.1,294.99,314.99
37,GTX 1070,329.0,93.6,68.5,40.6,170.0,
38,GTX 1660 SUPER,229.0,91.0,67.2,40.3,159.0,214.14
39,GTX 1080 Mobile,1857.0,93.1,68.7,41.0,,
40,GTX 1660,220.0,85.9,63.5,38.0,159.0,217.99
41,RTX 2080 Max-Q,1772.0,82.3,61.9,37.4,,
42,RTX 2070 Mobile,1724.0,85.1,62.4,38.2,,
43,GTX 1660 Ti Mobile,1758.0,71.0,52.6,31.5,,
44,GTX 1080 Max-Q,1955.0,82.2,60.6,36.2,,
45,GTX 1070 Mobile,1559.0,79.5,58.2,34.5,,
46,GTX 980 Ti,619.0,84.5,62.1,37.0,159.0,
47,R9 FURY X,649.0,78.0,59.6,36.3,85.0,
48,RX 590,214.0,80.7,58.0,33.8,174.99,
49,RTX 2060 Mobile,1104.0,75.4,53.5,31.7,,
50,RTX 2070 Max-Q,1516.0,73.0,53.5,32.7,,
51,R9 Nano,1529.0,71.0,53.5,32.4,,
52,GTX 1070 Max-Q,1106.0,70.2,51.4,30.5,,
53,GTX 980,249.0,73.7,53.5,32.0,19.95,
54,RX 5500 XT 8GB,199.0,73.5,52.8,30.8,179.99,
55,RX Vega 56 Mobile,1579.0,67.1,50.2,30.0,,
56,GTX 1660 Ti Max-Q,1185.0,65.9,48.7,29.1,,
57,R9 FURY,549.0,66.0,49.7,30.1,,
58,RX 5500 XT 4GB,169.0,66.3,47.7,27.8,179.99,
59,RX 580,151.0,71.4,51.2,29.7,100.0,
60,GTX 1650 SUPER,160.0,73.2,53.8,32.1,150.0,199.99
61,GTX 1060 6GB,159.0,67.0,48.4,28.8,129.99,
62,GTX TITAN BLACK,999.0,67.0,48.6,30.3,,
63,RX 480,399.0,59.8,44.6,27.4,90.0,
64,GTX 1060 3GB,170.0,63.7,46.0,27.4,80.99,
65,HD 7990,999.0,73.8,56.8,32.5,,
66,R9 390X,495.0,64.2,48.0,28.8,99.99,
67,GTX 780 Ti,410.0,60.5,42.2,26.8,,
68,RX 570,123.0,59.6,43.6,25.6,80.0,
69,GTX TITAN,650.0,67.3,48.7,27.1,,
70,GTX 970,449.0,62.2,44.6,27.4,84.99,
71,R9 290X,399.0,61.2,45.1,27.9,85.0,
72,R9 390,465.0,59.6,43.7,25.1,110.0,
73,GTX 1650,149.0,57.0,41.7,24.8,,
74,GTX 1060 Mobile,987.0,56.9,41.1,24.4,,
75,R9 290,310.0,57.7,42.0,26.2,85.0,
76,RX 470,342.0,52.9,39.0,23.2,,
77,GTX 980M,1345.0,51.6,37.5,22.4,,
78,GTX 980 Mobile,1345.0,51.6,37.5,22.4,,
79,GTX 980MX,1345.0,51.6,37.5,22.4,,
80,GTX 780,355.0,55.7,40.2,24.5,,
